image_id,rel_path,class_id,omega
n01616318_3247,Noisy Images/phase_noise_125/n01616318_3247.png,8,125.0
n04505470_7946,Noisy Images/phase_noise_125/n04505470_7946.png,131,125.0
n03041632_77022,Noisy Images/phase_noise_125/n03041632_77022.png,113,125.0
n02708093_1231,Noisy Images/phase_noise_125/n02708093_1231.png,107,125.0
n04505470_3261,Noisy Images/phase_noise_125/n04505470_3261.png,131,125.0
n01843065_7445,Noisy Images/phase_noise_125/n01843065_7445.png,20,125.0
n03344393_8399,Noisy Images/phase_noise_125/n03344393_8399.png,117,125.0
n03041632_12651,Noisy Images/phase_noise_125/n03041632_12651.png,113,125.0
n03041632_45090,Noisy Images/phase_noise_125/n03041632_45090.png,113,125.0
n03041632_3247,Noisy Images/phase_noise_125/n03041632_3247.png,113,125.0
n03376595_19102,Noisy Images/phase_noise_125/n03376595_19102.png,118,125.0
n04111531_16696,Noisy Images/phase_noise_125/n04111531_16696.png,126,125.0
n04505470_4724,Noisy Images/phase_noise_125/n04505470_4724.png,131,125.0
n04111531_2066,Noisy Images/phase_noise_125/n04111531_2066.png,126,125.0
n02134418_573,Noisy Images/phase_noise_125/n02134418_573.png,103,125.0
n02132136_6459,Noisy Images/phase_noise_125/n02132136_6459.png,100,125.0
n02134084_16430,Noisy Images/phase_noise_125/n02134084_16430.png,102,125.0
n02690373_243,Noisy Images/phase_noise_125/n02690373_243.png,106,125.0
n03417042_12013,Noisy Images/phase_noise_125/n03417042_12013.png,119,125.0
n04111531_10436,Noisy Images/phase_noise_125/n04111531_10436.png,126,125.0
n02823428_8404,Noisy Images/phase_noise_125/n02823428_8404.png,110,125.0
n02708093_3750,Noisy Images/phase_noise_125/n02708093_3750.png,107,125.0
n02690373_2447,Noisy Images/phase_noise_125/n02690373_2447.png,106,125.0
n01558993_12968,Noisy Images/phase_noise_125/n01558993_12968.png,4,125.0
n03796401_18139,Noisy Images/phase_noise_125/n03796401_18139.png,122,125.0
n02132136_9232,Noisy Images/phase_noise_125/n02132136_9232.png,100,125.0
n04111531_7283,Noisy Images/phase_noise_125/n04111531_7283.png,126,125.0
n04111531_2462,Noisy Images/phase_noise_125/n04111531_2462.png,126,125.0
n02835271_17617,Noisy Images/phase_noise_125/n02835271_17617.png,111,125.0
n04099969_6944,Noisy Images/phase_noise_125/n04099969_6944.png,125,125.0
n02111500_2733,Noisy Images/phase_noise_125/n02111500_2733.png,88,125.0
n03100240_3073,Noisy Images/phase_noise_125/n03100240_3073.png,115,125.0
n02504458_1790,Noisy Images/phase_noise_125/n02504458_1790.png,105,125.0
n03662601_27165,Noisy Images/phase_noise_125/n03662601_27165.png,120,125.0
n02690373_18412,Noisy Images/phase_noise_125/n02690373_18412.png,106,125.0
n02091134_7486,Noisy Images/phase_noise_125/n02091134_7486.png,44,125.0
n02133161_7233,Noisy Images/phase_noise_125/n02133161_7233.png,101,125.0
n03417042_2204,Noisy Images/phase_noise_125/n03417042_2204.png,119,125.0
n02108000_6970,Noisy Images/phase_noise_125/n02108000_6970.png,81,125.0
n02095570_2773,Noisy Images/phase_noise_125/n02095570_2773.png,54,125.0
n03796401_23347,Noisy Images/phase_noise_125/n03796401_23347.png,122,125.0
n02835271_2086,Noisy Images/phase_noise_125/n02835271_2086.png,111,125.0
n03417042_4462,Noisy Images/phase_noise_125/n03417042_4462.png,119,125.0
n04467665_58341,Noisy Images/phase_noise_125/n04467665_58341.png,130,125.0
n03085013_18623,Noisy Images/phase_noise_125/n03085013_18623.png,114,125.0
n04505470_4484,Noisy Images/phase_noise_125/n04505470_4484.png,131,125.0
n04505470_4684,Noisy Images/phase_noise_125/n04505470_4684.png,131,125.0
n02132136_9557,Noisy Images/phase_noise_125/n02132136_9557.png,100,125.0
n02690373_5465,Noisy Images/phase_noise_125/n02690373_5465.png,106,125.0
n02690373_4784,Noisy Images/phase_noise_125/n02690373_4784.png,106,125.0
n03041632_45326,Noisy Images/phase_noise_125/n03041632_45326.png,113,125.0
n02002556_17975,Noisy Images/phase_noise_125/n02002556_17975.png,24,125.0
n03937543_5703,Noisy Images/phase_noise_125/n03937543_5703.png,123,125.0
n03376595_8917,Noisy Images/phase_noise_125/n03376595_8917.png,118,125.0
n03100240_3528,Noisy Images/phase_noise_125/n03100240_3528.png,115,125.0
n03417042_19596,Noisy Images/phase_noise_125/n03417042_19596.png,119,125.0
n03417042_15179,Noisy Images/phase_noise_125/n03417042_15179.png,119,125.0
n04505470_4486,Noisy Images/phase_noise_125/n04505470_4486.png,131,125.0
n04548280_2989,Noisy Images/phase_noise_125/n04548280_2989.png,132,125.0
n02133161_1872,Noisy Images/phase_noise_125/n02133161_1872.png,101,125.0
n04099969_1755,Noisy Images/phase_noise_125/n04099969_1755.png,125,125.0
n02093647_1494,Noisy Images/phase_noise_125/n02093647_1494.png,48,125.0
n03085013_23648,Noisy Images/phase_noise_125/n03085013_23648.png,114,125.0
n02092339_7356,Noisy Images/phase_noise_125/n02092339_7356.png,46,125.0
n04111531_22120,Noisy Images/phase_noise_125/n04111531_22120.png,126,125.0
n04285008_8918,Noisy Images/phase_noise_125/n04285008_8918.png,128,125.0
n02814533_3375,Noisy Images/phase_noise_125/n02814533_3375.png,109,125.0
n02132136_20607,Noisy Images/phase_noise_125/n02132136_20607.png,100,125.0
n02835271_15572,Noisy Images/phase_noise_125/n02835271_15572.png,111,125.0
n02708093_3544,Noisy Images/phase_noise_125/n02708093_3544.png,107,125.0
n02111129_1530,Noisy Images/phase_noise_125/n02111129_1530.png,87,125.0
n02132136_7584,Noisy Images/phase_noise_125/n02132136_7584.png,100,125.0
n04111531_5643,Noisy Images/phase_noise_125/n04111531_5643.png,126,125.0
n01829413_4190,Noisy Images/phase_noise_125/n01829413_4190.png,19,125.0
n01824575_2746,Noisy Images/phase_noise_125/n01824575_2746.png,17,125.0
n04111531_8818,Noisy Images/phase_noise_125/n04111531_8818.png,126,125.0
n04111531_9910,Noisy Images/phase_noise_125/n04111531_9910.png,126,125.0
n03376595_2234,Noisy Images/phase_noise_125/n03376595_2234.png,118,125.0
n04548280_541,Noisy Images/phase_noise_125/n04548280_541.png,132,125.0
n04560804_11696,Noisy Images/phase_noise_125/n04560804_11696.png,134,125.0
n02056570_1691,Noisy Images/phase_noise_125/n02056570_1691.png,37,125.0
n04591713_2043,Noisy Images/phase_noise_125/n04591713_2043.png,136,125.0
n03792782_18947,Noisy Images/phase_noise_125/n03792782_18947.png,121,125.0
n02504013_4955,Noisy Images/phase_noise_125/n02504013_4955.png,104,125.0
n03796401_16472,Noisy Images/phase_noise_125/n03796401_16472.png,122,125.0
n04467665_2200,Noisy Images/phase_noise_125/n04467665_2200.png,130,125.0
n02504458_5697,Noisy Images/phase_noise_125/n02504458_5697.png,105,125.0
n04429376_7558,Noisy Images/phase_noise_125/n04429376_7558.png,129,125.0
n04273569_34117,Noisy Images/phase_noise_125/n04273569_34117.png,127,125.0
n02134084_2328,Noisy Images/phase_noise_125/n02134084_2328.png,102,125.0
n04099969_381,Noisy Images/phase_noise_125/n04099969_381.png,125,125.0
n02814533_3573,Noisy Images/phase_noise_125/n02814533_3573.png,109,125.0
n03041632_13203,Noisy Images/phase_noise_125/n03041632_13203.png,113,125.0
n01558993_14305,Noisy Images/phase_noise_125/n01558993_14305.png,4,125.0
n02708093_864,Noisy Images/phase_noise_125/n02708093_864.png,107,125.0
n04591713_2052,Noisy Images/phase_noise_125/n04591713_2052.png,136,125.0
n04505470_2540,Noisy Images/phase_noise_125/n04505470_2540.png,131,125.0
n01530575_3903,Noisy Images/phase_noise_125/n01530575_3903.png,1,125.0
n02835271_13489,Noisy Images/phase_noise_125/n02835271_13489.png,111,125.0
n03085013_22744,Noisy Images/phase_noise_125/n03085013_22744.png,114,125.0
n02504458_7867,Noisy Images/phase_noise_125/n02504458_7867.png,105,125.0
n02027492_9899,Noisy Images/phase_noise_125/n02027492_9899.png,33,125.0
n04505470_5561,Noisy Images/phase_noise_125/n04505470_5561.png,131,125.0
n03662601_326,Noisy Images/phase_noise_125/n03662601_326.png,120,125.0
n02133161_2166,Noisy Images/phase_noise_125/n02133161_2166.png,101,125.0
n04560804_1089,Noisy Images/phase_noise_125/n04560804_1089.png,134,125.0
n03344393_8798,Noisy Images/phase_noise_125/n03344393_8798.png,117,125.0
n04111531_22291,Noisy Images/phase_noise_125/n04111531_22291.png,126,125.0
n02504013_4159,Noisy Images/phase_noise_125/n02504013_4159.png,104,125.0
n04273569_3897,Noisy Images/phase_noise_125/n04273569_3897.png,127,125.0
n02951358_35173,Noisy Images/phase_noise_125/n02951358_35173.png,112,125.0
n02108422_12370,Noisy Images/phase_noise_125/n02108422_12370.png,82,125.0
n02835271_7311,Noisy Images/phase_noise_125/n02835271_7311.png,111,125.0
n03796401_3376,Noisy Images/phase_noise_125/n03796401_3376.png,122,125.0
n03085013_11359,Noisy Images/phase_noise_125/n03085013_11359.png,114,125.0
n02132136_25168,Noisy Images/phase_noise_125/n02132136_25168.png,100,125.0
n02104365_2334,Noisy Images/phase_noise_125/n02104365_2334.png,71,125.0
n02125311_37753,Noisy Images/phase_noise_125/n02125311_37753.png,99,125.0
n02091032_6740,Noisy Images/phase_noise_125/n02091032_6740.png,43,125.0
n02690373_4409,Noisy Images/phase_noise_125/n02690373_4409.png,106,125.0
n04111531_409,Noisy Images/phase_noise_125/n04111531_409.png,126,125.0
n03100240_10742,Noisy Images/phase_noise_125/n03100240_10742.png,115,125.0
n03796401_7104,Noisy Images/phase_noise_125/n03796401_7104.png,122,125.0
n02123159_1008,Noisy Images/phase_noise_125/n02123159_1008.png,95,125.0
n02690373_19134,Noisy Images/phase_noise_125/n02690373_19134.png,106,125.0
n03983396_2288,Noisy Images/phase_noise_125/n03983396_2288.png,124,125.0
n02108915_7266,Noisy Images/phase_noise_125/n02108915_7266.png,84,125.0
n02690373_8592,Noisy Images/phase_noise_125/n02690373_8592.png,106,125.0
n02504013_6212,Noisy Images/phase_noise_125/n02504013_6212.png,104,125.0
n02123394_6698,Noisy Images/phase_noise_125/n02123394_6698.png,96,125.0
n03041632_87339,Noisy Images/phase_noise_125/n03041632_87339.png,113,125.0
n02098286_2798,Noisy Images/phase_noise_125/n02098286_2798.png,61,125.0
n04557648_23801,Noisy Images/phase_noise_125/n04557648_23801.png,133,125.0
n01798484_5988,Noisy Images/phase_noise_125/n01798484_5988.png,12,125.0
n02835271_21211,Noisy Images/phase_noise_125/n02835271_21211.png,111,125.0
n04111531_9939,Noisy Images/phase_noise_125/n04111531_9939.png,126,125.0
n02835271_15639,Noisy Images/phase_noise_125/n02835271_15639.png,111,125.0
n02504013_10410,Noisy Images/phase_noise_125/n02504013_10410.png,104,125.0
n03041632_36280,Noisy Images/phase_noise_125/n03041632_36280.png,113,125.0
n04111531_10555,Noisy Images/phase_noise_125/n04111531_10555.png,126,125.0
n04505470_650,Noisy Images/phase_noise_125/n04505470_650.png,131,125.0
n02690373_12505,Noisy Images/phase_noise_125/n02690373_12505.png,106,125.0
n04548280_7211,Noisy Images/phase_noise_125/n04548280_7211.png,132,125.0
n04111531_5093,Noisy Images/phase_noise_125/n04111531_5093.png,126,125.0
n02504013_1785,Noisy Images/phase_noise_125/n02504013_1785.png,104,125.0
n03041632_43975,Noisy Images/phase_noise_125/n03041632_43975.png,113,125.0
n02823428_4774,Noisy Images/phase_noise_125/n02823428_4774.png,110,125.0
n02690373_4024,Noisy Images/phase_noise_125/n02690373_4024.png,106,125.0
n03196217_886,Noisy Images/phase_noise_125/n03196217_886.png,116,125.0
n03041632_40887,Noisy Images/phase_noise_125/n03041632_40887.png,113,125.0
n03085013_20218,Noisy Images/phase_noise_125/n03085013_20218.png,114,125.0
n03196217_3358,Noisy Images/phase_noise_125/n03196217_3358.png,116,125.0
n03085013_26325,Noisy Images/phase_noise_125/n03085013_26325.png,114,125.0
n01824575_3514,Noisy Images/phase_noise_125/n01824575_3514.png,17,125.0
n02125311_2064,Noisy Images/phase_noise_125/n02125311_2064.png,99,125.0
n04111531_23830,Noisy Images/phase_noise_125/n04111531_23830.png,126,125.0
n02690373_4144,Noisy Images/phase_noise_125/n02690373_4144.png,106,125.0
n02124075_10088,Noisy Images/phase_noise_125/n02124075_10088.png,98,125.0
n02090721_5305,Noisy Images/phase_noise_125/n02090721_5305.png,42,125.0
n02835271_20903,Noisy Images/phase_noise_125/n02835271_20903.png,111,125.0
n04505470_286,Noisy Images/phase_noise_125/n04505470_286.png,131,125.0
n03041632_42841,Noisy Images/phase_noise_125/n03041632_42841.png,113,125.0
n02134418_603,Noisy Images/phase_noise_125/n02134418_603.png,103,125.0
n04285008_11965,Noisy Images/phase_noise_125/n04285008_11965.png,128,125.0
n04579145_934,Noisy Images/phase_noise_125/n04579145_934.png,135,125.0
n02134084_22426,Noisy Images/phase_noise_125/n02134084_22426.png,102,125.0
n02125311_41798,Noisy Images/phase_noise_125/n02125311_41798.png,99,125.0
n04429376_19103,Noisy Images/phase_noise_125/n04429376_19103.png,129,125.0
n02708093_7069,Noisy Images/phase_noise_125/n02708093_7069.png,107,125.0
n04548280_5013,Noisy Images/phase_noise_125/n04548280_5013.png,132,125.0
n04429376_45669,Noisy Images/phase_noise_125/n04429376_45669.png,129,125.0
n03792782_6023,Noisy Images/phase_noise_125/n03792782_6023.png,121,125.0
n02690373_866,Noisy Images/phase_noise_125/n02690373_866.png,106,125.0
n02690373_5845,Noisy Images/phase_noise_125/n02690373_5845.png,106,125.0
n03417042_27497,Noisy Images/phase_noise_125/n03417042_27497.png,119,125.0
n02002724_1654,Noisy Images/phase_noise_125/n02002724_1654.png,25,125.0
n02106662_18900,Noisy Images/phase_noise_125/n02106662_18900.png,77,125.0
n04099969_36200,Noisy Images/phase_noise_125/n04099969_36200.png,125,125.0
n04285008_13197,Noisy Images/phase_noise_125/n04285008_13197.png,128,125.0
n02028035_4569,Noisy Images/phase_noise_125/n02028035_4569.png,34,125.0
n02835271_11922,Noisy Images/phase_noise_125/n02835271_11922.png,111,125.0
n02123159_2663,Noisy Images/phase_noise_125/n02123159_2663.png,95,125.0
n02708093_1430,Noisy Images/phase_noise_125/n02708093_1430.png,107,125.0
n02504013_6148,Noisy Images/phase_noise_125/n02504013_6148.png,104,125.0
n02123394_4666,Noisy Images/phase_noise_125/n02123394_4666.png,96,125.0
n04429376_54570,Noisy Images/phase_noise_125/n04429376_54570.png,129,125.0
n02013706_6035,Noisy Images/phase_noise_125/n02013706_6035.png,30,125.0
n03983396_1147,Noisy Images/phase_noise_125/n03983396_1147.png,124,125.0
n02708093_5127,Noisy Images/phase_noise_125/n02708093_5127.png,107,125.0
n02835271_2900,Noisy Images/phase_noise_125/n02835271_2900.png,111,125.0
n03376595_7835,Noisy Images/phase_noise_125/n03376595_7835.png,118,125.0
n02504013_3224,Noisy Images/phase_noise_125/n02504013_3224.png,104,125.0
n04505470_5007,Noisy Images/phase_noise_125/n04505470_5007.png,131,125.0
n02123159_4952,Noisy Images/phase_noise_125/n02123159_4952.png,95,125.0
n04548280_8246,Noisy Images/phase_noise_125/n04548280_8246.png,132,125.0
n02133161_2399,Noisy Images/phase_noise_125/n02133161_2399.png,101,125.0
n03417042_4664,Noisy Images/phase_noise_125/n03417042_4664.png,119,125.0
n03417042_8076,Noisy Images/phase_noise_125/n03417042_8076.png,119,125.0
n03792782_44390,Noisy Images/phase_noise_125/n03792782_44390.png,121,125.0
n04429376_27005,Noisy Images/phase_noise_125/n04429376_27005.png,129,125.0
n03983396_10362,Noisy Images/phase_noise_125/n03983396_10362.png,124,125.0
n04429376_22381,Noisy Images/phase_noise_125/n04429376_22381.png,129,125.0
n01829413_5505,Noisy Images/phase_noise_125/n01829413_5505.png,19,125.0
n02504013_8614,Noisy Images/phase_noise_125/n02504013_8614.png,104,125.0
n02009229_2294,Noisy Images/phase_noise_125/n02009229_2294.png,28,125.0
n02690373_1837,Noisy Images/phase_noise_125/n02690373_1837.png,106,125.0
n03085013_20805,Noisy Images/phase_noise_125/n03085013_20805.png,114,125.0
n03041632_42472,Noisy Images/phase_noise_125/n03041632_42472.png,113,125.0
n03792782_7667,Noisy Images/phase_noise_125/n03792782_7667.png,121,125.0
n04557648_3729,Noisy Images/phase_noise_125/n04557648_3729.png,133,125.0
n02134418_2372,Noisy Images/phase_noise_125/n02134418_2372.png,103,125.0
n04111531_807,Noisy Images/phase_noise_125/n04111531_807.png,126,125.0
n03041632_39836,Noisy Images/phase_noise_125/n03041632_39836.png,113,125.0
n02814533_5110,Noisy Images/phase_noise_125/n02814533_5110.png,109,125.0
n03085013_25809,Noisy Images/phase_noise_125/n03085013_25809.png,114,125.0
n03792782_14160,Noisy Images/phase_noise_125/n03792782_14160.png,121,125.0
n02951358_6617,Noisy Images/phase_noise_125/n02951358_6617.png,112,125.0
n03376595_209,Noisy Images/phase_noise_125/n03376595_209.png,118,125.0
n02835271_21558,Noisy Images/phase_noise_125/n02835271_21558.png,111,125.0
n03983396_899,Noisy Images/phase_noise_125/n03983396_899.png,124,125.0
n04467665_66876,Noisy Images/phase_noise_125/n04467665_66876.png,130,125.0
n03196217_4970,Noisy Images/phase_noise_125/n03196217_4970.png,116,125.0
n04467665_13225,Noisy Images/phase_noise_125/n04467665_13225.png,130,125.0
n03344393_8374,Noisy Images/phase_noise_125/n03344393_8374.png,117,125.0
n03100240_11107,Noisy Images/phase_noise_125/n03100240_11107.png,115,125.0
n02134084_18800,Noisy Images/phase_noise_125/n02134084_18800.png,102,125.0
n03937543_1358,Noisy Images/phase_noise_125/n03937543_1358.png,123,125.0
n03041632_5801,Noisy Images/phase_noise_125/n03041632_5801.png,113,125.0
n04111531_2937,Noisy Images/phase_noise_125/n04111531_2937.png,126,125.0
n02504458_2471,Noisy Images/phase_noise_125/n02504458_2471.png,105,125.0
n03041632_44363,Noisy Images/phase_noise_125/n03041632_44363.png,113,125.0
n02106030_17418,Noisy Images/phase_noise_125/n02106030_17418.png,75,125.0
n01514859_8222,Noisy Images/phase_noise_125/n01514859_8222.png,0,125.0
n02107574_4993,Noisy Images/phase_noise_125/n02107574_4993.png,79,125.0
n04111531_1794,Noisy Images/phase_noise_125/n04111531_1794.png,126,125.0
n02504013_5087,Noisy Images/phase_noise_125/n02504013_5087.png,104,125.0
n04505470_10786,Noisy Images/phase_noise_125/n04505470_10786.png,131,125.0
n03041632_20194,Noisy Images/phase_noise_125/n03041632_20194.png,113,125.0
n02504013_19694,Noisy Images/phase_noise_125/n02504013_19694.png,104,125.0
n02504458_6602,Noisy Images/phase_noise_125/n02504458_6602.png,105,125.0
n03041632_21560,Noisy Images/phase_noise_125/n03041632_21560.png,113,125.0
n02504458_3906,Noisy Images/phase_noise_125/n02504458_3906.png,105,125.0
n03792782_63173,Noisy Images/phase_noise_125/n03792782_63173.png,121,125.0
n02690373_6535,Noisy Images/phase_noise_125/n02690373_6535.png,106,125.0
n04099969_23293,Noisy Images/phase_noise_125/n04099969_23293.png,125,125.0
n04099969_1126,Noisy Images/phase_noise_125/n04099969_1126.png,125,125.0
n03796401_8037,Noisy Images/phase_noise_125/n03796401_8037.png,122,125.0
n03041632_5640,Noisy Images/phase_noise_125/n03041632_5640.png,113,125.0
n04285008_8880,Noisy Images/phase_noise_125/n04285008_8880.png,128,125.0
n04467665_17283,Noisy Images/phase_noise_125/n04467665_17283.png,130,125.0
n03417042_1126,Noisy Images/phase_noise_125/n03417042_1126.png,119,125.0
n02123045_8127,Noisy Images/phase_noise_125/n02123045_8127.png,94,125.0
n02134418_4110,Noisy Images/phase_noise_125/n02134418_4110.png,103,125.0
n03792782_26306,Noisy Images/phase_noise_125/n03792782_26306.png,121,125.0
n01514859_3837,Noisy Images/phase_noise_125/n01514859_3837.png,0,125.0
n02105641_8995,Noisy Images/phase_noise_125/n02105641_8995.png,74,125.0
n02097298_8119,Noisy Images/phase_noise_125/n02097298_8119.png,58,125.0
n02823428_3178,Noisy Images/phase_noise_125/n02823428_3178.png,110,125.0
n02017213_15262,Noisy Images/phase_noise_125/n02017213_15262.png,31,125.0
n04467665_2,Noisy Images/phase_noise_125/n04467665_2.png,130,125.0
n03100240_2195,Noisy Images/phase_noise_125/n03100240_2195.png,115,125.0
n02835271_15617,Noisy Images/phase_noise_125/n02835271_15617.png,111,125.0
n03662601_4925,Noisy Images/phase_noise_125/n03662601_4925.png,120,125.0
n02134418_2367,Noisy Images/phase_noise_125/n02134418_2367.png,103,125.0
n04111531_21822,Noisy Images/phase_noise_125/n04111531_21822.png,126,125.0
n02123394_2765,Noisy Images/phase_noise_125/n02123394_2765.png,96,125.0
n02134418_1083,Noisy Images/phase_noise_125/n02134418_1083.png,103,125.0
n01817953_1534,Noisy Images/phase_noise_125/n01817953_1534.png,13,125.0
n03100240_17417,Noisy Images/phase_noise_125/n03100240_17417.png,115,125.0
n02504013_2476,Noisy Images/phase_noise_125/n02504013_2476.png,104,125.0
n02123394_6265,Noisy Images/phase_noise_125/n02123394_6265.png,96,125.0
n03085013_7477,Noisy Images/phase_noise_125/n03085013_7477.png,114,125.0
n02123394_4894,Noisy Images/phase_noise_125/n02123394_4894.png,96,125.0
n03983396_8837,Noisy Images/phase_noise_125/n03983396_8837.png,124,125.0
n02504013_1455,Noisy Images/phase_noise_125/n02504013_1455.png,104,125.0
n04591713_5201,Noisy Images/phase_noise_125/n04591713_5201.png,136,125.0
n04429376_52173,Noisy Images/phase_noise_125/n04429376_52173.png,129,125.0
n03041632_12949,Noisy Images/phase_noise_125/n03041632_12949.png,113,125.0
n03937543_2232,Noisy Images/phase_noise_125/n03937543_2232.png,123,125.0
n03085013_7613,Noisy Images/phase_noise_125/n03085013_7613.png,114,125.0
n02951358_6089,Noisy Images/phase_noise_125/n02951358_6089.png,112,125.0
n03417042_29384,Noisy Images/phase_noise_125/n03417042_29384.png,119,125.0
n02835271_2594,Noisy Images/phase_noise_125/n02835271_2594.png,111,125.0
n03662601_32251,Noisy Images/phase_noise_125/n03662601_32251.png,120,125.0
n02100735_10276,Noisy Images/phase_noise_125/n02100735_10276.png,66,125.0
n04591713_3894,Noisy Images/phase_noise_125/n04591713_3894.png,136,125.0
n02002556_1936,Noisy Images/phase_noise_125/n02002556_1936.png,24,125.0
n04285008_901,Noisy Images/phase_noise_125/n04285008_901.png,128,125.0
n02125311_9356,Noisy Images/phase_noise_125/n02125311_9356.png,99,125.0
n01818515_8968,Noisy Images/phase_noise_125/n01818515_8968.png,14,125.0
n03085013_28741,Noisy Images/phase_noise_125/n03085013_28741.png,114,125.0
n02132136_6823,Noisy Images/phase_noise_125/n02132136_6823.png,100,125.0
n02690373_3539,Noisy Images/phase_noise_125/n02690373_3539.png,106,125.0
n02504458_13354,Noisy Images/phase_noise_125/n02504458_13354.png,105,125.0
n04111531_16583,Noisy Images/phase_noise_125/n04111531_16583.png,126,125.0
n02504458_2946,Noisy Images/phase_noise_125/n02504458_2946.png,105,125.0
n02134084_7387,Noisy Images/phase_noise_125/n02134084_7387.png,102,125.0
n03344393_6713,Noisy Images/phase_noise_125/n03344393_6713.png,117,125.0
n04099969_17056,Noisy Images/phase_noise_125/n04099969_17056.png,125,125.0
n03792782_1933,Noisy Images/phase_noise_125/n03792782_1933.png,121,125.0
n02132136_511,Noisy Images/phase_noise_125/n02132136_511.png,100,125.0
n02814533_4446,Noisy Images/phase_noise_125/n02814533_4446.png,109,125.0
n03417042_1790,Noisy Images/phase_noise_125/n03417042_1790.png,119,125.0
n02708093_1131,Noisy Images/phase_noise_125/n02708093_1131.png,107,125.0
n02133161_18639,Noisy Images/phase_noise_125/n02133161_18639.png,101,125.0
n02504013_21041,Noisy Images/phase_noise_125/n02504013_21041.png,104,125.0
n02791124_525,Noisy Images/phase_noise_125/n02791124_525.png,108,125.0
n01860187_38598,Noisy Images/phase_noise_125/n01860187_38598.png,23,125.0
n03085013_20877,Noisy Images/phase_noise_125/n03085013_20877.png,114,125.0
n02124075_6586,Noisy Images/phase_noise_125/n02124075_6586.png,98,125.0
n04273569_13641,Noisy Images/phase_noise_125/n04273569_13641.png,127,125.0
n03041632_29276,Noisy Images/phase_noise_125/n03041632_29276.png,113,125.0
n02504013_1865,Noisy Images/phase_noise_125/n02504013_1865.png,104,125.0
n02123045_10431,Noisy Images/phase_noise_125/n02123045_10431.png,94,125.0
n02125311_1469,Noisy Images/phase_noise_125/n02125311_1469.png,99,125.0
n04467665_59160,Noisy Images/phase_noise_125/n04467665_59160.png,130,125.0
n03196217_5995,Noisy Images/phase_noise_125/n03196217_5995.png,116,125.0
n04429376_29463,Noisy Images/phase_noise_125/n04429376_29463.png,129,125.0
n02690373_3698,Noisy Images/phase_noise_125/n02690373_3698.png,106,125.0
n04505470_6421,Noisy Images/phase_noise_125/n04505470_6421.png,131,125.0
n03376595_7516,Noisy Images/phase_noise_125/n03376595_7516.png,118,125.0
n02124075_2643,Noisy Images/phase_noise_125/n02124075_2643.png,98,125.0
n02708093_2361,Noisy Images/phase_noise_125/n02708093_2361.png,107,125.0
n02123597_6517,Noisy Images/phase_noise_125/n02123597_6517.png,97,125.0
n04505470_3957,Noisy Images/phase_noise_125/n04505470_3957.png,131,125.0
n02690373_6697,Noisy Images/phase_noise_125/n02690373_6697.png,106,125.0
n02835271_10910,Noisy Images/phase_noise_125/n02835271_10910.png,111,125.0
n03792782_1475,Noisy Images/phase_noise_125/n03792782_1475.png,121,125.0
n01622779_1364,Noisy Images/phase_noise_125/n01622779_1364.png,9,125.0
n03041632_37513,Noisy Images/phase_noise_125/n03041632_37513.png,113,125.0
n04591713_457,Noisy Images/phase_noise_125/n04591713_457.png,136,125.0
